縣市,死傷人數,緯度,經度
桃園市八德區華康街,130,24.9719737,121.2691937
桃園市中壢區榮安一街,129,24.9641747,121.2568121
桃園市龍潭區福龍路二段,129,24.8863756,121.2221571
桃園縣桃園市延壽街,128,24.9936946,121.2908489
桃園市中壢區三光路,128,24.9633568,121.2126819
桃園市龍潭區民族路,127,24.8359052,121.2336426
桃園縣觀音鄉忠愛路,126,24.9951753,121.1646476
桃園縣平鎮市振興路,126,24.945485,121.2195082
桃園市蘆竹區新興街,126,25.0087668,121.26694
桃園縣大溪鎮台3線,124,24.8844534,121.2902215
桃園縣八德市龍南路,124,24.9170996,121.2555781
桃園縣平鎮市三興路,124,24.9071587,121.217382
桃園市龜山區頂湖路,124,25.0372367,121.365136
桃園市龜山區自強東路,123,24.9958151,121.3436588
桃園縣楊梅市高獅路,122,24.9258686,121.1586019
桃園市中壢區自強一路,122,24.9732389,121.2444036
桃園市桃園區國聖一街,121,24.9860365,121.288548
桃園縣桃園市正光街,120,24.9596614,121.2035212
桃園市龜山區頂興路,120,24.9901738,121.3285006
桃園市平鎮區湧光路,120,24.8920902,121.2057729
桃園市龜山區建國東路,120,24.9862598,121.3217704
桃園市八德區和強路,120,24.9622656,121.3135049
桃園市蘆竹區文中路一段,119,24.991191,121.2664216
桃園市大溪區中華路,119,24.8781744,121.2927547
桃園縣桃園市自強路,118,24.9981067,121.3181036
桃園縣蘆竹鄉六福路,118,25.0588421,121.2942189
桃園市桃園區自強路,118,24.9981067,121.3181036
桃園市桃園區上海路,118,24.9911431,121.2826807
桃園縣大溪鎮瑞安路,116,24.8703869,121.2817368
桃園縣龍潭鄉福龍路三段,116,24.8747666,121.2183566
桃園縣平鎮市廣泰路,116,24.945087,121.2039251
桃園縣中壢市中福路,116,24.9715005,121.2295758
桃園市觀音區忠愛路,116,24.9951753,121.1646476
桃園市蘆竹區忠孝西路,116,25.0423652,121.2908456
桃園市中壢區龍慈路,116,24.9391098,121.2422154
桃園市新屋區三民路,115,24.9688678,121.1068924
桃園縣桃園市榮華街,114,24.9754997,121.3215111
桃園縣龍潭鄉民生路,114,24.8441145,121.22097
桃園縣桃園市中埔一街,114,25.014687,121.2952022
桃園縣桃園市大仁路,114,24.9726496,121.3234249
桃園市中壢區新明路,114,24.9591514,121.2149691
桃園市桃園區民權路,113,24.9940288,121.309913
桃園縣中壢市新明路,112,24.9591514,121.2149691
桃園縣中壢市龍興路,112,24.9404158,121.2423423
桃園縣八德市榮興路,112,24.9466991,121.3080334
桃園縣龍潭鄉民族路,112,24.8359052,121.2336426
桃園縣蘆竹鄉大竹北路,112,25.0346487,121.2472389
桃園縣大園鄉中正西路,112,25.0633647,121.1946558
桃園市楊梅區楊新北路,112,24.912629,121.1519367
桃園市中壢區新興路,111,24.9530503,121.2261991
桃園市桃園區中埔一街,111,25.014687,121.2952022
桃園縣桃園市泰昌三街,110,24.9876806,121.2948281
桃園縣龜山鄉中和南路,110,24.9940455,121.3363982
桃園市龜山區復興三路,110,25.0465582,121.3700338
桃園市龍潭區文化路,110,24.8485876,121.2446013
桃園市龍潭區中正路三林段,109,24.8495399,121.2293357
桃園縣新屋鄉台66線,108,25.0080289,121.0882908
桃園縣平鎮市和平路,108,24.9475866,121.2207568
桃園縣大園鄉民生路,108,25.0769152,121.1904207
桃園市大園區民生路,108,25.0769152,121.1904207
桃園市桃園區昆明路,108,24.9836498,121.3151997
桃園市中壢區龍興路,108,24.9404158,121.2423423
桃園市桃園區民安路,107,24.9973237,121.2998913
桃園市中壢區成功路,107,24.9754345,121.2600832
桃園縣龍潭鄉梅龍路,106,24.8754689,121.1947697
桃園縣桃園市民光東路,106,25.0080373,121.3179221
桃園縣龜山鄉文明路,106,25.057807,121.3786524
桃園縣桃園市中山北路,106,24.9953182,121.3030903
桃園縣中壢市慈惠三街,106,24.9630517,121.2255307
桃園縣楊梅市萬大路,106,24.9107849,121.1780492
桃園市桃園區中山北路,106,24.9953182,121.3030903
桃園市中壢區廣州路,106,24.9524302,121.232162
桃園市龜山區文化七路,106,25.051566,121.3643624
桃園市桃園區國際路二段,106,24.9993994,121.2878953
桃園市大溪區文化路,105,24.8795716,121.291794
桃園市中壢區長春路,105,24.9775777,121.2466188
桃園市八德區崁頂路,105,24.9446455,121.2651878
桃園縣中壢市龍慈路,104,24.9391098,121.2422154
桃園縣平鎮市中庸路,104,24.9133722,121.2063769
桃園縣中壢市新興路,104,24.9530503,121.2261991
桃園縣中壢市東園路,104,24.975246,121.239805
桃園市桃園區新埔六街,104,25.0153807,121.3020266
桃園市桃園區青田街,104,24.9838628,121.3084601
桃園市中壢區義民路,104,24.9528742,121.2153278
桃園市平鎮區自由街,104,24.8918465,121.2041343
桃園市龍潭區五福街,103,24.8650887,121.2221942
桃園市桃園區泰昌三街,103,24.9876806,121.2948281
桃園市大溪區瑞安路,103,24.8703869,121.2817368
桃園縣桃園市國聖一街,102,24.9860365,121.288548
桃園縣八德市和強路,102,24.9622656,121.3135049
桃園縣龍潭鄉健行路,102,24.8685279,121.230076
桃園縣中壢市義民路,102,24.9528742,121.2153278
桃園縣新屋鄉民族路,102,24.9626898,121.1568007
桃園市桃園區長沙街,102,24.9804427,121.3089202
桃園市中壢區慈惠三街,102,24.9630517,121.2255307
桃園市中壢區永清街,102,24.9821347,121.2281781
桃園市龍潭區健行路,102,24.8685279,121.230076
桃園市平鎮區洪圳路,102,24.9010236,121.2470028
桃園市八德區豐德路,101,24.9250518,121.2889696
桃園市桃園區延壽街,101,24.9936946,121.2908489
桃園市蘆竹區新生路,101,25.0316339,121.2412355
桃園縣大園鄉新生路,100,25.0649171,121.1998473
桃園縣大溪鎮慈光街,100,24.9029866,121.2800169
桃園市桃園區大原路,100,24.9768443,121.3200184
桃園市龍潭區民生路,100,24.8441145,121.22097
桃園市桃園區北埔路,100,25.0026972,121.3060018
桃園市八德區大福街,100,24.9724523,121.2999422
桃園市中壢區高鐵北路,100,25.0133216,121.2163416
桃園市桃園區永安北路,99,25.0146143,121.2926403
桃園市蘆竹區六福路,99,25.0588421,121.2942189
桃園市中壢區長沙路,99,24.9494019,121.230861
桃園市八德區榮興路,99,24.9466991,121.3080334
桃園市楊梅區環東路,99,24.904353,121.1544641
桃園縣龜山鄉頂湖路,98,25.0372367,121.365136
桃園縣桃園市樹仁二街,98,24.9776736,121.3156493
桃園縣龍潭鄉五福街,98,24.8650887,121.2221942
桃園市桃園區樹仁二街,97,24.9776736,121.3156493
桃園市平鎮區義民路,97,24.9528742,121.2153278
桃園市平鎮區廣德街,97,24.953937,121.2051742
桃園市新屋區中華南路,97,24.9545256,121.1176668
