項次,清運序,行政區,清運路線名稱,清運點名稱,一般垃圾清運時間,廚餘回收清運時間,資源回收清運時間
1,1,蘆竹區,山腳區1線,山林路一段與山腳街口,星期一二四五六:16:55,星期一二四五六:16:55,星期一二四五六:16:55
2,2,蘆竹區,山腳區1線,山林路一段與武聖街口,星期一二四五六:17:00,星期一二四五六:17:00,星期一二四五六:17:00
3,3,蘆竹區,山腳區1線,泉州路與武聖街口,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
4,4,蘆竹區,山腳區1線,山林路一段富貴新城社區,星期一二四五六:17:10,星期一二四五六:17:10,星期一二四五六:17:10
5,5,蘆竹區,山腳區1線,山林路一段家畜市場,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
6,6,蘆竹區,山腳區1線,外社街（外社橋）,星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
7,7,蘆竹區,山腳區1線,頂社國小,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
8,8,蘆竹區,山腳區1線,坑子里6鄰,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
9,9,蘆竹區,山腳區1線,觀音寺,星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
10,10,蘆竹區,山腳區1線,孔明路臥龍岡下(山林路與孔明路口),星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
11,11,蘆竹區,山腳區1線,八德二路130號,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
12,12,蘆竹區,山腳區1線,坑子社區活動中心,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
13,13,蘆竹區,山腳區1線,外社里草仔崎,星期一二四五六:18:20,星期一二四五六:18:20,星期一二四五六:18:20
14,14,蘆竹區,山腳區1線,外社里後壁坑,星期一二四五六:18:25,星期一二四五六:18:25,星期一二四五六:18:25
15,15,蘆竹區,山腳區1線,十八公墓及外社里7、8鄰,星期一二四五六:18:30,星期一二四五六:18:30,星期一二四五六:18:30
16,16,蘆竹區,山腳區1線,順利一、二街,星期一二四五六:18:35,星期一二四五六:18:35,星期一二四五六:18:35
17,17,蘆竹區,山腳區1線,山林路一段與南山北路口,星期一二四五六:18:40,星期一二四五六:18:40,星期一二四五六:18:40
18,18,蘆竹區,山腳區1線,南山北路二段鄭厝沿路收運,星期一二四五六:19:20,星期一二四五六:19:20,星期一二四五六:19:20
19,19,蘆竹區,山腳區1線,海湖北路277號,星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
20,20,蘆竹區,山腳區1線,海山中街口與金海街口,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
21,21,蘆竹區,山腳區1線,坑口里1-3鄰,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
22,22,蘆竹區,山腳區1線,"坑口里4,6鄰",星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
23,23,蘆竹區,山腳區1線,南山北路二段251巷,星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
24,24,蘆竹區,山腳區1線,南山北路一段161巷至141巷、133巷,星期一二四五六:19:55,星期一二四五六:19:55,星期一二四五六:19:55
25,25,蘆竹區,山腳區1線,南山北路一段與南山路三段口,星期一二四五六:20:00,星期一二四五六:20:00,星期一二四五六:20:00
26,1,蘆竹區,山腳區2線,海山路(蘆竹區農會山腳辦事處),星期一二四五六:17:10,星期一二四五六:17:10,星期一二四五六:17:10
27,2,蘆竹區,山腳區2線,海山路(仁愛社區),星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
28,3,蘆竹區,山腳區2線,海山路(山腳國中),星期一二四五六:17:20,星期一二四五六:17:20,星期一二四五六:17:20
29,4,蘆竹區,山腳區2線,油管路或坑子里11鄰(2天1次),星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
30,5,蘆竹區,山腳區2線,坑果路,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
31,6,蘆竹區,山腳區2線,永佳加油站,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
32,7,蘆竹區,山腳區2線,台電變電所,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
33,8,蘆竹區,山腳區2線,海山路一段與海湖東路口(海湖新社會社區),星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
34,9,蘆竹區,山腳區2線,海湖東路油管路口(2天1次),星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
35,10,蘆竹區,山腳區2線,海山新城,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
36,11,蘆竹區,山腳區2線,南山北路與海湖東路口,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
37,12,蘆竹區,山腳區2線,海湖國小,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
38,13,蘆竹區,山腳區2線,海湖二鄰,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
39,14,蘆竹區,山腳區2線,海湖里15鄰(劉宅),星期一二四五六:18:55,星期一二四五六:18:55,星期一二四五六:18:55
40,15,蘆竹區,山腳區2線,海湖里10.11.12鄰(大樓),星期一二四五六:18:57,星期一二四五六:18:57,星期一二四五六:18:57
41,16,蘆竹區,山腳區2線,海湖里、海山路2段(土地公廟)、富貴大鎮,星期一二四五六:19:00,星期一二四五六:19:00,星期一二四五六:19:00
42,17,蘆竹區,山腳區2線,海山路與濱海公路口(7-11),星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
43,18,蘆竹區,山腳區2線,濱海路一段254巷口,星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
44,19,蘆竹區,山腳區2線,濱海路300巷,星期一二四五六:19:18,星期一二四五六:19:18,星期一二四五六:19:18
45,20,蘆竹區,山腳區2線,智海街,星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
46,21,蘆竹區,山腳區2線,海港路下海湖海釣場及周邊,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
47,22,蘆竹區,山腳區2線,海山西路(鵝牌公司),星期一二四五六:19:35,星期一二四五六:19:35,星期一二四五六:19:35
48,23,蘆竹區,山腳區2線,海寧巷4、5、6、7巷附近,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
49,24,蘆竹區,山腳區2線,海寧巷7號,星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
50,25,蘆竹區,山腳區2線,海山路一段65號(閎基A11),星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
51,1,蘆竹區,大竹區3線,大竹路往大華巷子,星期一二四五六:16:50,星期一二四五六:16:50,星期一二四五六:16:50
52,2,蘆竹區,大竹區3線,大竹路往新興巷子,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
53,3,蘆竹區,大竹區3線,大竹路115號橋頭,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
54,4,蘆竹區,大竹區3線,大竹路1巷30號,星期一二四五六:17:20,星期一二四五六:17:20,星期一二四五六:17:20
55,5,蘆竹區,大竹區3線,新興里活動中心,星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
56,6,蘆竹區,大竹區3線,文新街346巷119號,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
57,7,蘆竹區,大竹區3線,文新街376巷內,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
58,8,蘆竹區,大竹區3線,新興街379巷25弄,星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
59,9,蘆竹區,大竹區3線,新興街430巷,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
60,10,蘆竹區,大竹區3線,桃園慈天宮,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
61,11,蘆竹區,大竹區3線,新興街273巷內,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
62,12,蘆竹區,大竹區3線,開南管理學院門口（-->新興街125巷）,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
63,13,蘆竹區,大竹區3線,新興農會辦事處（新興街6號）,星期一二四五六:18:15,星期一二四五六:18:15,星期一二四五六:18:15
64,14,蘆竹區,大竹區3線,大竹路傳家寶社區,星期一二四五六:18:25,星期一二四五六:18:25,星期一二四五六:18:25
65,15,蘆竹區,大竹區3線,大竹路224巷45弄,星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
66,16,蘆竹區,大竹區3線,仁和街,星期一二四五六:19:20,星期一二四五六:19:20,星期一二四五六:19:20
67,17,蘆竹區,大竹區3線,新福街,星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
68,18,蘆竹區,大竹區3線,大新二街,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
69,19,蘆竹區,大竹區3線,大興十一街101巷,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
70,20,蘆竹區,大竹區3線,大興十街,星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
71,21,蘆竹區,大竹區3線,大新五街,星期一二四五六:20:05,星期一二四五六:20:05,星期一二四五六:20:05
72,1,蘆竹區,大竹區5線,中興路與龍安街二段交叉口,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
73,2,蘆竹區,大竹區5線,中興路585巷,星期一二四五六:17:12,星期一二四五六:17:12,星期一二四五六:17:12
74,3,蘆竹區,大竹區5線,中興路553巷,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
75,4,蘆竹區,大竹區5線,龍安街二段981號(德林寺觀音廟),星期一二四五六:17:20,星期一二四五六:17:20,星期一二四五六:17:20
76,5,蘆竹區,大竹區5線,中福里17鄰黃厝橋頭,星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
77,6,蘆竹區,大竹區5線,龍壽街一段95巷,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
78,7,蘆竹區,大竹區5線,文中路一段117號龍壽街口(龍壽別墅),星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
79,8,蘆竹區,大竹區5線,文中路一段47巷,星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
80,9,蘆竹區,大竹區5線,文中路一段19巷,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
81,10,蘆竹區,大竹區5線,龍安街一段96號(銀河餐廳),星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
82,11,蘆竹區,大竹區5線,中福里8鄰處（龍安街2段1438號）,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
83,12,蘆竹區,大竹區5線,龍安街二段1670號,星期一二四五六:18:20,星期一二四五六:18:20,星期一二四五六:18:20
84,13,蘆竹區,大竹區5線,大竹路(蘆竹區農會大竹辦事處前),星期一二四五六:19:00,星期一二四五六:19:00,星期一二四五六:19:00
85,14,蘆竹區,大竹區5線,大竹路二街內,星期一二四五六:19:05,星期一二四五六:19:05,星期一二四五六:19:05
86,15,蘆竹區,大竹區5線,大竹路綠寶石社區,星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
87,16,蘆竹區,大竹區5線,大竹路449巷,星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
88,17,蘆竹區,大竹區5線,上興路(湯墅社區),星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
89,18,蘆竹區,大竹區5線,大竹路335巷口,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
90,19,蘆竹區,大竹區5線,大竹路288巷,星期一二四五六:19:35,星期一二四五六:19:35,星期一二四五六:19:35
91,20,蘆竹區,大竹區5線,上竹四街42巷,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
92,21,蘆竹區,大竹區5線,上竹路(維尼爾幼稚園),星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
93,22,蘆竹區,大竹區5線,上竹三街（宏邦社區）,星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
94,23,蘆竹區,大竹區5線,大竹路與愛國一路口,星期一二四五六:19:55,星期一二四五六:19:55,星期一二四五六:19:55
95,24,蘆竹區,大竹區5線,中福里香草花園社區(資收二四六),星期一二四五六:20:05,星期一二四五六:20:05,星期一二四五六:20:05
96,1,蘆竹區,大竹區6線,中興路28巷口,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
97,2,蘆竹區,大竹區6線,上興路77巷,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
98,3,蘆竹區,大竹區6線,上興路大竹消防隊,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
99,4,蘆竹區,大竹區6線,大福路122號（帝境）,星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
100,5,蘆竹區,大竹區6線,興中街100巷（音樂桂冠）,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
101,6,蘆竹區,大竹區6線,大興八街(領袖會館社區),星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
102,7,蘆竹區,大竹區6線,大興四街,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
103,8,蘆竹區,大竹區6線,新生路211巷,星期一二四五六:19:05,星期一二四五六:19:05,星期一二四五六:19:05
104,9,蘆竹區,大竹區6線,新生路599巷,星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
105,10,蘆竹區,大竹區6線,家綠墅社區,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
106,11,蘆竹區,大竹區6線,大華北街90巷1號（慈靈寺）,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
107,12,蘆竹區,大竹區6線,建國十九村,星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
108,13,蘆竹區,大竹區6線,建國二十村,星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
109,14,蘆竹區,大竹區6線,高鐵麗園,星期一二四五六:20:00,星期一二四五六:20:00,星期一二四五六:20:00
110,15,蘆竹區,大竹區6線,新樂園社區,星期一二四五六:20:10,星期一二四五六:20:10,星期一二四五六:20:10
111,1,蘆竹區,大竹區7線,大新路380巷19號,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
112,2,蘆竹區,大竹區7線,大新路938巷內,星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
113,3,蘆竹區,大竹區7線,大新路1015巷,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
114,4,蘆竹區,大竹區7線,大新路937巷,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
115,5,蘆竹區,大竹區7線,龍安街三段129巷內,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
116,6,蘆竹區,大竹區7線,龍安街三段141巷內),星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
117,7,蘆竹區,大竹區7線,大新路814巷,星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
118,8,蘆竹區,大竹區7線,中油街357巷2號,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
119,9,蘆竹區,大竹區7線,新生路599巷100弄(每星期二、四、六),星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
120,10,蘆竹區,大竹區7線,新生路600巷75弄7號,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
121,11,蘆竹區,大竹區7線,新生路290巷211弄,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
122,12,蘆竹區,大竹區7線,南竹路五段11巷內,星期一二四五六:19:00,星期一二四五六:19:00,星期一二四五六:19:00
123,13,蘆竹區,大竹區7線,南竹路四段259號,星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
124,14,蘆竹區,大竹區7線,富國路三段337號,星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
125,15,蘆竹區,大竹區7線,富上街331巷,星期一二四五六:19:20,星期一二四五六:19:20,星期一二四五六:19:20
126,16,蘆竹區,大竹區7線,向日葵社區,星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
127,17,蘆竹區,大竹區7線,富國路一段1巷,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
128,18,蘆竹區,大竹區7線,南竹路3段225號,星期一二四五六:19:32,星期一二四五六:19:32,星期一二四五六:19:32
129,19,蘆竹區,大竹區7線,南竹路3段98巷內(每星期一、四、五),星期一二四五六:19:35,星期一二四五六:19:35,星期一二四五六:19:35
130,20,蘆竹區,大竹區7線,南竹路3段150巷,星期一二四五六:19:38,星期一二四五六:19:38,星期一二四五六:19:38
131,21,蘆竹區,大竹區7線,富宏街290巷,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
132,22,蘆竹區,大竹區7線,南竹路四段250號,星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
133,23,蘆竹區,大竹區7線,南竹路四段300巷內(每星期二、四、六),星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
134,1,蘆竹區,南崁區8線,中正北路2巷213弄口(星期二、六),星期二六:16:30,星期二六:16:30,星期一二四五六:16:30
135,2,蘆竹區,南崁區8線,南工路、興隆路,星期一二四五六:16:40,星期一二四五六:16:40,星期一二四五六:16:40
136,3,蘆竹區,南崁區8線,山鼻里3、4鄰,星期一二四五六:16:50,星期一二四五六:16:50,星期一二四五六:16:50
137,4,蘆竹區,南崁區8線,山鼻里8、9、10、11、12鄰,星期一二四五六:16:55,星期一二四五六:16:55,星期一二四五六:16:55
138,5,蘆竹區,南崁區8線,鐵路左側內厝里11鄰工業區,星期一二四五六:17:10,星期一二四五六:17:10,星期一二四五六:17:10
139,6,蘆竹區,南崁區8線,山鼻里5、6鄰,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
140,7,蘆竹區,南崁區8線,鐵路右側,星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
141,8,蘆竹區,南崁區8線,長興里1.2鄰長興社區,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
142,9,蘆竹區,南崁區8線,長興里3.4.6.7鄰溪洲,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
143,10,蘆竹區,南崁區8線,長興里工業區,星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
144,11,蘆竹區,南崁區8線,蘆竹里18.21鄰,星期一二四五六:18:50,星期一二四五六:18:50,星期一二四五六:18:50
145,12,蘆竹區,南崁區8線,南興里7鄰,星期一二四五六:18:55,星期一二四五六:18:55,星期一二四五六:18:55
146,13,蘆竹區,南崁區8線,南興里8鄰,星期一二四五六:19:05,星期一二四五六:19:05,星期一二四五六:19:05
147,14,蘆竹區,南崁區8線,蘆興里蘆興南路至桃園市交界處,星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
148,15,蘆竹區,南崁區8線,蘆興南路魚池邊(星期二、六),星期二六:19:20,星期二六:19:20,星期一二四五六:19:20
149,16,蘆竹區,南崁區8線,聯福街,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
150,17,蘆竹區,南崁區8線,中正路109巷1.2弄,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
151,18,蘆竹區,南崁區8線,新南路305巷1.2弄,星期一二四五六:19:55,星期一二四五六:19:55,星期一二四五六:19:55
152,1,蘆竹區,南崁區9線,忠孝西路(忠孝巷),星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
153,2,蘆竹區,南崁區9線,忠孝西路與光明路一段,星期一二四五六:17:27,星期一二四五六:17:27,星期一二四五六:17:27
154,3,蘆竹區,南崁區9線,洛陽街海漾社區,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
155,4,蘆竹區,南崁區9線,光明路與南竹路口,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
156,5,蘆竹區,南崁區9線,光明路二段6號,星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
157,6,蘆竹區,南崁區9線,光明路與聯福街口,星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
158,7,蘆竹區,南崁區9線,錦興里白鷺之鄉社區,星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
159,8,蘆竹區,南崁區9線,光復路與桃園街口（麗晶旅館旁）,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
160,9,蘆竹區,南崁區9線,桃園街底中悅帝堡大樓,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
161,10,蘆竹區,南崁區9線,新南路與經國路(車庫旁),星期一二四五六:18:50,星期一二四五六:18:50,星期一二四五六:18:50
162,11,蘆竹區,南崁區9線,中正路86巷口,星期一二四五六:18:55,星期一二四五六:18:55,星期一二四五六:18:55
163,12,蘆竹區,南崁區9線,中正路308號(大富翁社區),星期一二四五六:19:00,星期一二四五六:19:00,星期一二四五六:19:00
164,13,蘆竹區,南崁區9線,南崁路一段300巷內,星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
165,14,蘆竹區,南崁區9線,南崁路一段與南工路口,星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
166,15,蘆竹區,南崁區9線,南崁路一段工業城（福懋加油站旁）,星期一二四五六:19:20,星期一二四五六:19:20,星期一二四五六:19:20
167,16,蘆竹區,南崁區9線,中正路金石堂書局,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
168,17,蘆竹區,南崁區9線,中正路與榮興路口（近特力屋）,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
169,1,蘆竹區,南崁區10線,南竹路一段(曼哈頓社區前),星期一二四五六:17:10,星期一二四五六:17:10,星期一二四五六:17:10
170,2,蘆竹區,南崁區10線,南竹路一段126號(名人天下社區前),星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
171,3,蘆竹區,南崁區10線,南竹路二段226號,星期一二四五六:17:20,星期一二四五六:17:20,星期一二四五六:17:20
172,4,蘆竹區,南崁區10線,南竹路二段317號(大清盛世社區前),星期一二四五六:17:25,星期一二四五六:17:25,星期一二四五六:17:25
173,5,蘆竹區,南崁區10線,南農街(南華市場),星期一二四五六:17:40,星期一二四五六:17:40,星期一二四五六:17:40
174,6,蘆竹區,南崁區10線,南崁路348巷口,星期一二四五六:17:45,星期一二四五六:17:45,星期一二四五六:17:45
175,7,蘆竹區,南崁區10線,南山路一段12號(五福橋),星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
176,8,蘆竹區,南崁區10線,長安路一段157號,星期一二四五六:17:55,星期一二四五六:17:55,星期一二四五六:17:55
177,9,蘆竹區,南崁區10線,長興路2段26巷(新人類國社區),星期一二四五六:17:58,星期一二四五六:17:58,星期一二四五六:17:58
178,10,蘆竹區,南崁區10線,山鼻里1、2鄰（番仔厝）,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
179,11,蘆竹區,南崁區10線,長興路二段156號,星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
180,12,蘆竹區,南崁區10線,油管路一段90巷口,星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
181,13,蘆竹區,南崁區10線,五福一路50巷內工業城,星期一二四五六:19:05,星期一二四五六:19:05,星期一二四五六:19:05
182,14,蘆竹區,南崁區10線,福祿一街220號(薇閣皇家社區),星期一二四五六:19:10,星期一二四五六:19:10,星期一二四五六:19:10
183,15,蘆竹區,南崁區10線,福祿一街81號(御薇閣社區),星期一二四五六:19:15,星期一二四五六:19:15,星期一二四五六:19:15
184,16,蘆竹區,南崁區10線,五福六路56巷(靜園社區),星期一二四五六:19:20,星期一二四五六:19:20,星期一二四五六:19:20
185,17,蘆竹區,南崁區10線,福祿一街19巷口,星期一二四五六:19:25,星期一二四五六:19:25,星期一二四五六:19:25
186,18,蘆竹區,南崁區10線,福祿五街(城市緣社區),星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
187,19,蘆竹區,南崁區10線,六福路165巷,星期一二四五六:19:35,星期一二四五六:19:35,星期一二四五六:19:35
188,20,蘆竹區,南崁區10線,六福一路（台北山水）,星期一二四五六:19:40,星期一二四五六:19:40,星期一二四五六:19:40
189,21,蘆竹區,南崁區10線,六福一路85巷（陳厝）,星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
190,22,蘆竹區,南崁區10線,六福一路土雞城,星期一二四五六:19:50,星期一二四五六:19:50,星期一二四五六:19:50
191,23,蘆竹區,南崁區10線,六福路252號,星期一二四五六:19:55,星期一二四五六:19:55,星期一二四五六:19:55
192,24,蘆竹區,南崁區10線,六福路292-1號,星期一二四五六:19:58,星期一二四五六:19:58,星期一二四五六:19:58
193,25,蘆竹區,南崁區10線,六福路314號,星期一二四五六:20:00,星期一二四五六:20:00,星期一二四五六:20:00
194,1,蘆竹區,南崁區11線,蘆興街(總督府社區後門),星期一二四五六:16:35,星期一二四五六:16:35,星期一二四五六:16:35
195,2,蘆竹區,南崁區11線,南崁路二段137號(總督府社區),星期一二四五六:16:40,星期一二四五六:16:40,星期一二四五六:16:40
196,3,蘆竹區,南崁區11線,長興路四段12號,星期一二四五六:17:00,星期一二四五六:17:00,星期一二四五六:17:00
197,4,蘆竹區,南崁區11線,長興路口與南崁路二段,星期一二四五六:17:05,星期一二四五六:17:05,星期一二四五六:17:05
198,5,蘆竹區,南崁區11線,八股路(土地公廟）,星期一二四五六:17:15,星期一二四五六:17:15,星期一二四五六:17:15
199,6,蘆竹區,南崁區11線,南崁路二段與富國路口三段,星期一二四五六:17:20,星期一二四五六:17:20,星期一二四五六:17:20
200,7,蘆竹區,南崁區11線,富國路三段（富昌街）,星期一二四五六:17:30,星期一二四五六:17:30,星期一二四五六:17:30
201,8,蘆竹區,南崁區11線,蘆宏路78號迴轉,星期一二四五六:17:35,星期一二四五六:17:35,星期一二四五六:17:35
202,9,蘆竹區,南崁區11線,富國路二段　南竹路,星期一二四五六:17:50,星期一二四五六:17:50,星期一二四五六:17:50
203,10,蘆竹區,南崁區11線,富國路二段（蘆竹街）,星期一二四五六:18:00,星期一二四五六:18:00,星期一二四五六:18:00
204,11,蘆竹區,南崁區11線,南崁路二段（黎明長青社區）,星期一二四五六:18:05,星期一二四五六:18:05,星期一二四五六:18:05
205,12,蘆竹區,南崁區11線,南崁路二段與南工路口(迴轉),星期一二四五六:18:10,星期一二四五六:18:10,星期一二四五六:18:10
206,13,蘆竹區,南崁區11線,南崁路二段與長興路四段,星期一二四五六:18:20,星期一二四五六:18:20,星期一二四五六:18:20
207,14,蘆竹區,南崁區11線,長興路四段到長興橋　,星期一二四五六:18:25,星期一二四五六:18:25,星期一二四五六:18:25
208,15,蘆竹區,南崁區11線,奉化路,星期一二四五六:19:30,星期一二四五六:19:30,星期一二四五六:19:30
209,16,蘆竹區,南崁區11線,奉化路104巷,星期一二四五六:19:35,星期一二四五六:19:35,星期一二四五六:19:35
210,17,蘆竹區,南崁區11線,南福街255巷25號,星期一二四五六:19:45,星期一二四五六:19:45,星期一二四五六:19:45
211,18,蘆竹區,南崁區11線,南福街與忠孝西路口,星期一二四五六:19:55,星期一二四五六:19:55,星期一二四五六:19:55
212,19,蘆竹區,南崁區11線,南福街與南昌路口,星期一二四五六:20:00,星期一二四五六:20:00,星期一二四五六:20:00
