桃園縣桃園市建新街,426
桃園縣平鎮市中豐路山頂段,426
桃園市桃園區富國路,426.0
桃園縣龜山鄉自強南路,424
桃園縣龜山鄉民生北路,424
桃園縣新屋鄉中華路,422
桃園縣大溪鎮仁和路,422
桃園市大園區中山南路,420.0
桃園市中壢區環北路,419.0
桃園市平鎮區新光路,418.0
桃園縣龍潭鄉中豐路上林段,416
桃園市龜山區大同路,412.0
桃園市龜山區長壽路,409.0
桃園市楊梅區新農街,406.0
桃園市楊梅區永美路,405.0
桃園縣新屋鄉中山西路,400
桃園縣桃園市建國路,400
桃園縣龍潭鄉中原路,400
桃園市楊梅區楊新路,399.0
桃園縣桃園市同安街,398
桃園縣龜山鄉文化三路,398
桃園市大溪區康莊路,398.0
桃園縣中壢市中美路,390
桃園縣大園鄉國際路,390
桃園縣楊梅市永美路,390
桃園市蘆竹區中正路,390.0
桃園縣平鎮市復旦路,388
桃園縣桃園市民族路,388
桃園市大溪區復興路,386.0
桃園市桃園區龍壽街,386.0
桃園縣大園鄉中山南路,374
桃園縣桃園市龍壽街,372
桃園市桃園區莊敬路,371.0
桃園縣桃園市龍安街,370
桃園市中壢區民權路,369.0
桃園縣桃園市富國路,364
桃園縣蘆竹鄉文中路一段,364
桃園市龜山區中興路,363.0
桃園縣龍潭鄉北龍路,362
桃園市中壢區環西路,362.0
桃園市龍潭區聖亭路,362.0
桃園市中壢區南園二路,361.0
桃園市龜山區振興路,361.0
桃園市桃園區建國路,360.0
桃園縣蘆竹鄉長興路,358
桃園市桃園區龍安街,358.0
桃園縣桃園市大興路,356
桃園縣龜山鄉復興一路,350
桃園市龜山區自強南路,349.0
桃園縣大溪鎮康莊路,348
桃園市八德區廣興路,347.0
桃園縣龍潭鄉中豐路高平段,344
桃園市桃園區同安街,342.0
桃園市楊梅區幼獅路,334.0
桃園市中壢區興仁路,334.0
桃園縣中壢市榮民路,332
桃園縣楊梅市幼獅路,326
桃園市平鎮區南東路,326.0
桃園市龍潭區中豐路上林段,326.0
桃園市龜山區民生北路,325.0
桃園縣龍潭鄉聖亭路,324
桃園市八德區茄苳路,320.0
桃園市龍潭區中原路,320.0
桃園市中壢區中美路,313.0
桃園縣龜山鄉東萬壽路,312
桃園縣大溪鎮復興路,312
桃園縣楊梅市民富路,310
桃園市蘆竹區海山路,310.0
桃園縣中壢市民權路,308
桃園縣中壢市榮民南路,308
桃園市桃園區延平路,308.0
桃園市大園區和平西路,307.0
桃園市平鎮區南豐路,307.0
桃園縣中壢市南園二路,306
桃園市中壢區榮民路,305.0
桃園市龍潭區北龍路,305.0
桃園縣平鎮市德育路,304
桃園市中壢區榮民南路,304.0
桃園市桃園區民族路,303.0
桃園市龍潭區中豐路高平段,302.0
桃園市桃園區力行路,302.0
桃園市八德區福國北街,300.0
桃園縣桃園市中正三街,296
桃園縣楊梅市文化街,296
桃園市大園區國際路,295.0
桃園縣蘆竹鄉大新路,294
桃園市平鎮區民族路雙連,294.0
桃園縣桃園市寶慶路,292
桃園市中壢區文化路,292.0
桃園市桃園區大興路,291.0
桃園縣八德市廣興路,290
桃園縣觀音鄉中山路,290
桃園市中壢區中豐北路,289.0
桃園市大溪區埔頂路,289.0
桃園市八德區中山路,289.0
桃園市桃園區大興西路二段,289.0
桃園縣桃園市延平路,286
桃園市新屋區中山西路,286.0
桃園縣新屋鄉中山東路,284
桃園縣蘆竹鄉仁愛路,282
桃園縣中壢市環西路,280
桃園縣平鎮市育達路,280
桃園市中壢區忠孝路,280.0
桃園縣中壢市西園路,278
桃園縣中壢市興仁路,278
桃園市中壢區中豐路,277.0
桃園縣楊梅市中山南路,276
桃園縣平鎮市民族路雙連,274
桃園市平鎮區育達路,273.0
桃園市蘆竹區長興路,271.0
桃園縣平鎮市陸橋南路,270
桃園縣桃園市玉山街,270
桃園縣平鎮市新光路,270
桃園市桃園區寶慶路,269.0
